# labels.csv — PITFALL.EXE (Win32 PE, image base 0x400000)
# key,name,comment
# key = virtual address (0x0044A8FF). Prefix "off:" for a raw file offset,
#       "ph:<FILE>:<offset>" for an offset inside a .PH data file.
#
# ---- entry / CRT ----------------------------------------------------------
0x0044A8FF,WinMainCRTStartup,PE entry point; MSVC 2.x CRT startup with SEH frame
0x004744B8,imp_CreateProcessA,KERNEL32.dll import thunk
0x004744BC,imp_TlsAlloc,KERNEL32.dll import thunk
0x004744C0,imp_CloseHandle,KERNEL32.dll import thunk
0x004744C4,imp_GetVersion,KERNEL32.dll import thunk
0x004744C8,imp_GetCurrentProcess,KERNEL32.dll import thunk
0x004744CC,imp_InitializeCriticalSection,KERNEL32.dll import thunk
0x004744D0,imp_GlobalAlloc,KERNEL32.dll import thunk
0x004744D4,imp_GlobalLock,KERNEL32.dll import thunk
0x004744D8,imp_GetStdHandle,KERNEL32.dll import thunk
0x004744DC,imp_GetCPInfo,KERNEL32.dll import thunk
0x004744E0,imp_GetLastError,KERNEL32.dll import thunk
0x004744E4,imp_WriteFile,KERNEL32.dll import thunk
0x004744E8,imp_GetCurrentThreadId,KERNEL32.dll import thunk
0x004744EC,imp_WideCharToMultiByte,KERNEL32.dll import thunk
0x004744F0,imp_TlsSetValue,KERNEL32.dll import thunk
0x004744F4,imp_GetCommandLineA,KERNEL32.dll import thunk
0x004744F8,imp_MultiByteToWideChar,KERNEL32.dll import thunk
0x004744FC,imp_GetStartupInfoA,KERNEL32.dll import thunk
0x00474500,imp_GetModuleHandleA,KERNEL32.dll import thunk
0x00474504,imp_GetEnvironmentStrings,KERNEL32.dll import thunk
0x00474508,imp_ExitProcess,KERNEL32.dll import thunk
0x00474614,imp_timeKillEvent,WINMM.dll import thunk
0x00474618,imp_auxGetNumDevs,WINMM.dll import thunk
0x0047461C,imp_auxGetDevCapsA,WINMM.dll import thunk
0x00474620,imp_auxGetVolume,WINMM.dll import thunk
0x00474624,imp_auxSetVolume,WINMM.dll import thunk
0x00474628,imp_mciSendCommandA,WINMM.dll import thunk
0x0047462C,imp_timeGetTime,WINMM.dll import thunk
0x00474630,imp_waveOutGetNumDevs,WINMM.dll import thunk
0x00474634,imp_sndPlaySoundA,WINMM.dll import thunk
0x00474638,imp_timeEndPeriod,WINMM.dll import thunk
0x0047463C,imp_timeBeginPeriod,WINMM.dll import thunk
0x00474640,imp_timeSetEvent,WINMM.dll import thunk
0x00474644,imp_joyReleaseCapture,WINMM.dll import thunk
0x00474648,imp_joySetCapture,WINMM.dll import thunk
0x0047464C,imp_joyGetNumDevs,WINMM.dll import thunk
0x00474650,imp_joyGetDevCapsA,WINMM.dll import thunk
0x00474654,imp_joyGetPos,WINMM.dll import thunk
0x00474510,imp_DestroyWindow,USER32.dll import thunk
0x00474514,imp_SendMessageA,USER32.dll import thunk
0x00474518,imp_GetSystemMetrics,USER32.dll import thunk
0x0047451C,imp_SetCapture,USER32.dll import thunk
0x00474520,imp_KillTimer,USER32.dll import thunk
0x00474524,imp_ReleaseCapture,USER32.dll import thunk
0x00474528,imp_GetDC,USER32.dll import thunk
0x0047452C,imp_DrawMenuBar,USER32.dll import thunk
0x00474530,imp_DestroyMenu,USER32.dll import thunk
0x00474534,imp_SetMenu,USER32.dll import thunk
0x00474538,imp_LoadMenuA,USER32.dll import thunk
0x0047453C,imp_LoadStringA,USER32.dll import thunk
0x00474540,imp_CopyRect,USER32.dll import thunk
0x00474544,imp_LoadBitmapA,USER32.dll import thunk
0x00474548,imp_GetDlgCtrlID,USER32.dll import thunk
0x0047454C,imp_CheckRadioButton,USER32.dll import thunk
0x00474550,imp_SetTimer,USER32.dll import thunk
0x00474554,imp_GetAsyncKeyState,USER32.dll import thunk
0x00474558,imp_SystemParametersInfoA,USER32.dll import thunk
0x0047455C,imp_GetFocus,USER32.dll import thunk
0x00474560,imp_IsDlgButtonChecked,USER32.dll import thunk
0x00474564,imp_CheckDlgButton,USER32.dll import thunk
0x00474568,imp_EnableWindow,USER32.dll import thunk
0x0047456C,imp_SetWindowLongA,USER32.dll import thunk
0x00474570,imp_LoadCursorA,USER32.dll import thunk
0x00474574,imp_FindWindowA,USER32.dll import thunk
0x00474578,imp_SendDlgItemMessageA,USER32.dll import thunk
0x0047457C,imp_CallWindowProcA,USER32.dll import thunk
0x00474580,imp_GetWindowRect,USER32.dll import thunk
0x00474584,imp_ClientToScreen,USER32.dll import thunk
0x00474588,imp_MoveWindow,USER32.dll import thunk
0x0047458C,imp_EndDialog,USER32.dll import thunk
0x00474590,imp_MessageBoxA,USER32.dll import thunk
0x00474594,imp_EnableMenuItem,USER32.dll import thunk
0x00474598,imp_CheckMenuItem,USER32.dll import thunk
0x0047459C,imp_AdjustWindowRect,USER32.dll import thunk
0x004745A0,imp_TranslateMessage,USER32.dll import thunk
0x004745A4,imp_DispatchMessageA,USER32.dll import thunk
0x004745A8,imp_PeekMessageA,USER32.dll import thunk
0x004745AC,imp_PostQuitMessage,USER32.dll import thunk
0x004745B0,imp_BeginPaint,USER32.dll import thunk
0x004745B4,imp_EndPaint,USER32.dll import thunk
0x004745B8,imp_ReleaseDC,USER32.dll import thunk
0x004745BC,imp_GetClientRect,USER32.dll import thunk
0x004745C0,imp_ScreenToClient,USER32.dll import thunk
0x004745C4,imp_PtInRect,USER32.dll import thunk
0x004745C8,imp_WinHelpA,USER32.dll import thunk
0x004745CC,imp_PostMessageA,USER32.dll import thunk
0x004745D0,imp_DialogBoxParamA,USER32.dll import thunk
0x004745D4,imp_SetCursor,USER32.dll import thunk
0x004745D8,imp_DefWindowProcA,USER32.dll import thunk
0x004745DC,imp_MessageBeep,USER32.dll import thunk
0x004745E0,imp_SetForegroundWindow,USER32.dll import thunk
0x004745E4,imp_CreateWindowExA,USER32.dll import thunk
0x004745E8,imp_LoadIconA,USER32.dll import thunk
0x004745EC,imp_RegisterClassA,USER32.dll import thunk
0x004745F0,imp_ShowWindow,USER32.dll import thunk
0x004745F4,imp_GetMenu,USER32.dll import thunk
0x004745F8,imp_SetWindowPos,USER32.dll import thunk
0x004745FC,imp_GetWindowLongA,USER32.dll import thunk
0x00474600,imp_UpdateWindow,USER32.dll import thunk
0x00474604,imp_GetKeyNameTextA,USER32.dll import thunk
0x00474608,imp_GetDlgItem,USER32.dll import thunk
0x0047460C,imp_CreateDialogParamA,USER32.dll import thunk
0x004743A4,imp_RealizePalette,GDI32.dll import thunk
0x004743A8,imp_DeleteDC,GDI32.dll import thunk
0x004743AC,imp_SelectObject,GDI32.dll import thunk
0x004743B0,imp_StretchBlt,GDI32.dll import thunk
0x004743B4,imp_GetObjectA,GDI32.dll import thunk
0x004743B8,imp_SetDIBits,GDI32.dll import thunk
0x004743BC,imp_CreateCompatibleBitmap,GDI32.dll import thunk
0x004743C0,imp_CreateCompatibleDC,GDI32.dll import thunk
0x004743C4,imp_CreatePalette,GDI32.dll import thunk
0x004743C8,imp_SetBkMode,GDI32.dll import thunk
0x004743CC,imp_GetStockObject,GDI32.dll import thunk
0x004743D0,imp_CreateFontIndirectA,GDI32.dll import thunk
0x004743D4,imp_CreateDIBSection,GDI32.dll import thunk
0x004743D8,imp_SetTextColor,GDI32.dll import thunk
0x004743DC,imp_SetStretchBltMode,GDI32.dll import thunk
0x004743E0,imp_GetSystemPaletteEntries,GDI32.dll import thunk
0x004743E4,imp_SetDIBColorTable,GDI32.dll import thunk
0x004743E8,imp_SetSystemPaletteUse,GDI32.dll import thunk
0x004743EC,imp_GetDeviceCaps,GDI32.dll import thunk
0x004743F0,imp_GetSystemPaletteUse,GDI32.dll import thunk
0x004743F4,imp_BitBlt,GDI32.dll import thunk
0x004743F8,imp_GdiFlush,GDI32.dll import thunk
0x004743FC,imp_AnimatePalette,GDI32.dll import thunk
0x00474400,imp_TextOutA,GDI32.dll import thunk
0x00474404,imp_DeleteObject,GDI32.dll import thunk
0x00474408,imp_SelectPalette,GDI32.dll import thunk
0x00474374,imp_RegCloseKey,ADVAPI32.dll import thunk
0x00474378,imp_RegFlushKey,ADVAPI32.dll import thunk
0x0047437C,imp_RegOpenKeyA,ADVAPI32.dll import thunk
0x00474380,imp_RegQueryValueExA,ADVAPI32.dll import thunk
0x00474384,imp_RegSetValueExA,ADVAPI32.dll import thunk
0x00474388,imp_RegCreateKeyA,ADVAPI32.dll import thunk
0x00436FB4,draw_background,"composites the visible cellmap into the back buffer; 2 callers"
0x00436B2C,blit_cell,"draws one 8x8 cell; ebx = cell word, edi = back buffer dest"

0x00436BD8,blit_cell_mode2,"cell bits 13-14 set -> this blit path"
0x0046B1F8,g_tile_sheet,block0 + pix_off — base of the 8x8 tile sheet
0x0046B248,g_cell_w,cellmap width in cells (copied from block-0 header)
0x0046B24C,g_cell_h,cellmap height in cells
0x0046B250,g_draw_col,current cellmap column during the background blit
0x0046B254,g_draw_row,current cellmap row during the background blit
0x0046B258,g_row_base,cellmap pointer for the current row
0x0046D3E8,g_backbuffer,"back buffer base; row stride 0x1C0 = 448 bytes"
0x0046FBA0,g_camera_x,camera x in pixels
0x0046FBA4,g_camera_y,camera y in pixels
0x00436DF4,blit_cell_mode0,"masked 8x8 blit: palette index 0 transparent, tile index 0 draws nothing"
0x0043305F,init_world_bounds,"derives 0x465BAE/B0 = (map tiles * 16) - 0x20 from g_map_tiles_w/h"
0x004658AC,g_map_w_tiles16,map width in 16px tiles (word copy)
0x004658AE,g_map_h_tiles16,map height in 16px tiles (word copy)
0x00465BAE,g_world_max_x,(map_w_tiles * 16) - 32 — entity position clamp
0x00465BB0,g_world_max_y,(map_h_tiles * 16) - 32 — entity position clamp
0x00465B0F,g_debug_cam_x,16-bit pixel X stepped 7px/frame by 0x00426810
0x00426810,debug_scroll,"single-caller camera mover, steps 7px and clamps to world bounds"
